,importance
AL_267,0.0
AL_244,0.0
AL_288,0.0
AA_2_N,0.0
AA_2_Q,0.0
AA_2_T,0.0
AL_280,0.0
AL_284,0.0
AL_276,0.0
AL_332,0.0
AL_269,0.0
AL_263,0.0
AL_92,0.0
BIO_alblk52_max,0.0
BIO_alblk53_max,0.0
BIO_alblk54_max,0.0
AL_56,0.0
AL_320,0.0
AL_179,0.0
BIO_alblk20_max,0.0
BIO_alblk63_max,0.0
BIO_alblk21_max,0.0
BIO_alblk24_max,0.0
BIO_alblk23_max,0.0
BIO_alblk62_max,0.0
AL_167,0.0
AL_182,0.0
AL_183,0.0
AL_42,0.0
AL_185,0.0
AL_191,0.0
AL_195,0.0
BIO_alblk15_max,0.0
AL_200,0.0
AL_204,0.0
BIO_alblk11_max,0.0
AL_212,0.0
AL_208,0.0
AL_240,0.0
AL_74,0.0
AL_248,0.0
AL_236,0.0
BIO_alblk25_max,0.0
BIO_alblk26_max,0.0
BIO_alblk27_max,0.0
AL_292,0.0
BIO_alblk29_max,0.0
BIO_alblk28_max,0.0
AL_152,0.0
AL_153,0.0
AL_161,0.0
BIO_alblk66_max,0.0
AL_155,0.0
AL_158,0.0
AL_170,0.0
AL_173,0.0
AL_176,0.0
BIO_alblk64_max,0.0
BIO_alblk22_max,0.0
BIO_alblk32_max,0.0
AL_164,0.0
AL_131,0.0
AL_295,0.0
AL_128,0.0
BIO_alblk31_max,0.0
AL_137,0.0
BIO_alblk34_max,0.0
AL_134,0.0
AL_135,0.0
BIO_alblk33_max,0.0
BIO_alblk30_max,0.0
AL_146,0.0
AL_143,0.0
AL_140,0.0
AL_116,0.0
AL_149,0.0
BIO_alblk35_max,0.0
BIO_alblk36_max,0.0
BIO_alblk38_max,0.0
BIO_alblk39_max,0.0
AL_119,0.0
AL_120,0.0
AL_122,0.0
AL_125,0.0
AL_299,0.0
AL_107,0.0
BIO_alblk41_max,0.0
AL_104,0.0
AL_110,0.0
AL_113,0.0
BIO_alblk45_max,0.0
BIO_alblk43_max,0.0
BIO_alblk42_max,0.0
BIO_alblk40_max,0.0
BIO_alblk48_max,0.0
BIO_alblk60_max,0.0
BIO_alblk59_max,0.0
BIO_alblk49_max,0.0
BIO_alblk46_max,0.0
BIO_alblk47_max,0.0
BIO_alblk57_max,0.0
AL_101,0.0
AL_95,0.0
AL_93,0.0
AL_78,0.0
AL_41,0.0
