,importance
BIO_alblk13_max,0.00620461179814023
BIO_alblk57_std,0.006138934595588475
AL_97,0.006107990780879533
BIO_alblk41_max,0.00610012511895612
AL_118,0.006038781618719362
BIO_alblk08_std,0.0059100189946276705
AL_24,0.00589332514908116
AL_311,0.005851047237356795
AL_42,0.0057680290841117116
AL_283,0.005733379791011531
BIO_alblk38_max,0.0056832076529688925
BIO_alblk53_mean,0.00564195179238131
AL_161,0.005613792046281721
BIO_alblk38_mean,0.005561984274000304
BIO_alblk38_std,0.005559609058897407
BIO_alblk57_max,0.005535716677858498
BIO_alblk25_max,0.005423896872199426
BIO_alblk56_max,0.005389401900232541
AL_326,0.005249711310608537
AL_40,0.005169188665994083
BIO_alblk65_std,0.005152510595846805
BIO_alblk14_std,0.005092095727537064
AL_17,0.005089621365615535
AL_305,0.005060482988418317
AL_138,0.005030342089516018
BIO_alblk49_max,0.005015001595071922
AL_85,0.0050141750125530645
BIO_alblk48_mean,0.005006234967279742
BIO_alblk54_std,0.0049997103887074665
AL_83,0.004964234725923032
AL_16,0.004956764403578251
BIO_alblk55_mean,0.004771050540161888
AL_144,0.004748569108072642
BIO_alblk20_max,0.004696374896699606
AL_190,0.004305654697435541
AL_203,0.004302800273513842
AL_52,0.004280273436113279
AL_23,0.004270050669806491
AL_242,0.004241442734161912
BIO_alblk57_mean,0.0042261225349083205
AL_240,0.004189739587672209
AL_232,0.004187731441393705
AL_320,0.004165794820745748
EK_8,0.0041469460605345594
AL_173,0.004146906448791093
AL_72,0.004120359285110042
AL_260,0.004110835891577379
BIO_alblk39_mean,0.004053862096327727
AL_120,0.003992860332204049
AL_254,0.003916319294015513
AL_321,0.0038068977826323297
AL_207,0.0038061452107205655
BIO_alblk10_max,0.0037820381406455704
AL_142,0.003761707258690318
AL_187,0.0036083410134163966
AL_93,0.0036009054817504244
BIO_alblk39_std,0.0035906754508850704
BIO_alblk19_std,0.0034717098831372533
BIO_alblk04_std,0.0034504973338843788
BIO_alblk19_mean,0.00341566198405302
AL_182,0.003385939431725364
AL_58,0.0033825714656309193
AL_128,0.003350732056987573
AL_218,0.0033401347628782205
AL_76,0.0033368404507733546
CAT_2,0.0033002722612179526
BIO_alblk15_max,0.003296762034340795
AA_2_M,0.0032684205211882837
AL_92,0.003265833811420111
AL_59,0.0031145742245001274
AL_39,0.00305022022477553
EK_5,0.003046223179203293
BIO_alblk60_mean,0.003039231871967451
AL_107,0.0029821445381217984
AL_139,0.0029462245049553053
AL_18,0.00288505235880823
AL_175,0.0028626390269103326
AL_86,0.0028025789179616325
AL_45,0.002761266552589067
BIO_alblk17_max,0.0027288209800417386
BIO_alblk16_std,0.002650538710297673
AL_272,0.002620360091995198
AL_66,0.0025883798884955207
AL_78,0.0025176080540543527
AL_248,0.0025134319281098425
AL_70,0.0024984904596341414
AL_198,0.0024291356439164542
BIO_alblk12_mean,0.0024249715310713676
BIO_alblk34_max,0.0024143692939379525
AL_234,0.0023673917749494973
BIO_alblk51_max,0.0023628848327680594
AL_278,0.0023602485674377527
AA_2_N,0.0023589353061975954
BIO_alblk54_max,0.0023465230649878546
AL_165,0.0023196037569549626
CAT_5,0.0023172763590056603
BIO_alblk35_max,0.002262507770725815
AL_188,0.0022619647336331494
AL_223,0.002156273308370977
AL_130,0.0019950546341885645
AL_202,0.0019474235510951246
BIO_alblk46_max,0.0018341159200837985
AL_322,0.0018189791319728824
AL_56,0.0017613234849722444
AL_149,0.0017590729131731723
BIO_alblk55_std,0.0017464905910673447
